연도,날짜,시간,경기,게임센터,하이라이트,TV,라디오,구장,비고
2021,06.27(일),<b>17:00</b>,"<span>롯데</span><em><span class=""win"">7</span><span>vs</span><span class=""lose"">6</span></em><span>두산</span>",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210627&gameId=20210627LTOB0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210627&gameId=20210627LTOB0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,MS-T,KNN-R,잠실,-
2021,,<b>17:00</b>,"<span>LG</span><em><span class=""win"">9</span><span>vs</span><span class=""lose"">5</span></em><span>삼성</span>",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210627&gameId=20210627LGSS0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210627&gameId=20210627LGSS0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,KN-T,T-R,대구,-
2021,,<b>17:00</b>,"<span>SSG</span><em><span class=""lose"">3</span><span>vs</span><span class=""win"">4</span></em><span>NC</span>",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210627&gameId=20210627SKNC0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210627&gameId=20210627SKNC0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,SPO-2T,,창원,-
2021,,<b>17:00</b>,"<span>KIA</span><em><span class=""lose"">4</span><span>vs</span><span class=""win"">5</span></em><span>키움</span>",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210627&gameId=20210627HTWO0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210627&gameId=20210627HTWO0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,SS-T,,고척,-
2021,,<b>17:00</b>,"<span>KT</span><em><span class=""win"">11</span><span>vs</span><span class=""lose"">1</span></em><span>한화</span>",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210627&gameId=20210627KTHH0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210627&gameId=20210627KTHH0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,SPO-T<br />D-CMB,,대전,-
2021,06.29(화),<b>18:30</b>,<span>KT</span><em><span>vs</span></em><span>LG</span>,,,SPO-2T,,잠실,기타
2021,,<b>18:30</b>,"<span>삼성</span><em><span class=""lose"">3</span><span>vs</span><span class=""win"">10</span></em><span>SSG</span>",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210629&gameId=20210629SSSK0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210629&gameId=20210629SSSK0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,SPO-T,T-R,문학,-
2021,,<b>18:30</b>,"<span>NC</span><em><span class=""win"">7</span><span>vs</span><span class=""lose"">3</span></em><span>KIA</span>",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210629&gameId=20210629NCHT0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210629&gameId=20210629NCHT0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,KN-T<br />G-CMB,,광주,-
2021,,<b>18:30</b>,"<span>롯데</span><em><span class=""win"">13</span><span>vs</span><span class=""lose"">5</span></em><span>키움</span>",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210629&gameId=20210629LTWO0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210629&gameId=20210629LTWO0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,MS-T,KNN-R,고척,-
2021,,<b>18:30</b>,<span>두산</span><em><span>vs</span></em><span>한화</span>,,,SS-T<br />D-CMB,,대전,기타
2021,06.30(수),<b>15:00</b>,<span>KT</span><em><span>vs</span></em><span>LG</span>,,,SS-T<br />SPO-2T,,잠실,우천취소
2021,,<b>15:00</b>,"<span>삼성</span><em><span class=""same"">3</span><span>vs</span><span class=""same"">3</span></em><span>SSG</span>",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210630&gameId=20210630SSSK1&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210630&gameId=20210630SSSK1&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,KN-T<br />MS-T<br />SPO-T,T-R,문학,-
2021,,<b>18:30</b>,"<span>삼성</span><em><span class=""lose"">4</span><span>vs</span><span class=""win"">8</span></em><span>SSG</span>",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210630&gameId=20210630SSSK2&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210630&gameId=20210630SSSK2&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,SPO-T,T-R,문학,-
2021,,<b>18:30</b>,"<span>KT</span><em><span class=""win"">4</span><span>vs</span><span class=""lose"">3</span></em><span>LG</span>",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210630&gameId=20210630KTLG0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210630&gameId=20210630KTLG0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,SPO-2T,,잠실,-
2021,,<b>18:30</b>,<span>NC</span><em><span>vs</span></em><span>KIA</span>,,,KN-T<br />G-CMB,,광주,우천취소
2021,,<b>18:30</b>,"<span>롯데</span><em><span class=""lose"">5</span><span>vs</span><span class=""win"">6</span></em><span>키움</span>",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210630&gameId=20210630LTWO0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210630&gameId=20210630LTWO0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,MS-T,KNN-R,고척,-
2021,,<b>18:30</b>,"<span>두산</span><em><span class=""win"">8</span><span>vs</span><span class=""lose"">6</span></em><span>한화</span>",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210630&gameId=20210630OBHH0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210630&gameId=20210630OBHH0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,SS-T<br />D-CMB,,대전,-
2021,07.01(목),<b>18:30</b>,"<span>KT</span><em><span class=""win"">6</span><span>vs</span><span class=""lose"">1</span></em><span>LG</span>",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210701&gameId=20210701KTLG0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210701&gameId=20210701KTLG0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,SPO-2T,,잠실,-
2021,,<b>18:30</b>,"<span>삼성</span><em><span class=""win"">8</span><span>vs</span><span class=""lose"">7</span></em><span>SSG</span>",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210701&gameId=20210701SSSK0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210701&gameId=20210701SSSK0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,SPO-T,T-R,문학,-
2021,,<b>18:30</b>,"<span>NC</span><em><span class=""lose"">3</span><span>vs</span><span class=""win"">6</span></em><span>KIA</span>",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210701&gameId=20210701NCHT0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210701&gameId=20210701NCHT0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,KN-T<br />G-CMB,,광주,-
2021,,<b>18:30</b>,"<span>롯데</span><em><span class=""lose"">1</span><span>vs</span><span class=""win"">13</span></em><span>키움</span>",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210701&gameId=20210701LTWO0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210701&gameId=20210701LTWO0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,MS-T,KNN-R,고척,-
2021,,<b>18:30</b>,"<span>두산</span><em><span class=""win"">10</span><span>vs</span><span class=""lose"">3</span></em><span>한화</span>",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210701&gameId=20210701OBHH0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210701&gameId=20210701OBHH0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,SS-T<br />D-CMB,,대전,-
2021,07.02(금),<b>18:30</b>,"<span>한화</span><em><span class=""win"">5</span><span>vs</span><span class=""lose"">3</span></em><span>LG</span>",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210702&gameId=20210702HHLG0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210702&gameId=20210702HHLG0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,SPO-T,,잠실,-
2021,,<b>18:30</b>,"<span>롯데</span><em><span class=""win"">6</span><span>vs</span><span class=""lose"">5</span></em><span>SSG</span>",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210702&gameId=20210702LTSK0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210702&gameId=20210702LTSK0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,SPO-2T,KNN-R,문학,-
2021,,<b>18:30</b>,"<span>키움</span><em><span class=""lose"">1</span><span>vs</span><span class=""win"">4</span></em><span>KT</span>",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210702&gameId=20210702WOKT0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210702&gameId=20210702WOKT0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,KN-T,,수원,-
2021,,<b>18:30</b>,"<span>두산</span><em><span class=""lose"">3</span><span>vs</span><span class=""win"">8</span></em><span>KIA</span>",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210702&gameId=20210702OBHT0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210702&gameId=20210702OBHT0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,SS-T<br />G-CMB,,광주,-
2021,,<b>19:00</b>,"<span>삼성</span><em><span class=""win"">5</span><span>vs</span><span class=""lose"">2</span></em><span>NC</span>",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210702&gameId=20210702SSNC0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210702&gameId=20210702SSNC0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,MS-T,T-R,창원,-
2021,07.03(토),<b>18:00</b>,<span>한화</span><em><span>vs</span></em><span>LG</span>,,,SPO-T,,잠실,우천취소
2021,,<b>18:00</b>,<span>롯데</span><em><span>vs</span></em><span>SSG</span>,,,SPO-2T,KNN-R,문학,우천취소
2021,,<b>18:00</b>,<span>삼성</span><em><span>vs</span></em><span>NC</span>,,,MS-T,T-R,창원,우천취소
2021,,<b>18:00</b>,<span>키움</span><em><span>vs</span></em><span>KT</span>,,,KN-T,,수원,우천취소
2021,,<b>18:00</b>,<span>두산</span><em><span>vs</span></em><span>KIA</span>,,,SS-T<br />G-CMB,,광주,그라운드사정
2021,07.04(일),<b>17:00</b>,"<span>한화</span><em><span class=""lose"">0</span><span>vs</span><span class=""win"">5</span></em><span>LG</span>",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210704&gameId=20210704HHLG0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210704&gameId=20210704HHLG0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,SPO-T,,잠실,-
2021,,<b>17:00</b>,"<span>롯데</span><em><span class=""win"">6</span><span>vs</span><span class=""lose"">4</span></em><span>SSG</span>",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210704&gameId=20210704LTSK0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210704&gameId=20210704LTSK0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,SPO-2T,KNN-R,문학,-
2021,,<b>17:00</b>,"<span>삼성</span><em><span class=""win"">5</span><span>vs</span><span class=""lose"">0</span></em><span>NC</span>",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210704&gameId=20210704SSNC0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210704&gameId=20210704SSNC0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,MS-T,T-R,창원,-
2021,,<b>17:00</b>,"<span>키움</span><em><span class=""lose"">3</span><span>vs</span><span class=""win"">12</span></em><span>KT</span>",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210704&gameId=20210704WOKT0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210704&gameId=20210704WOKT0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,KN-T,,수원,-
2021,,<b>17:00</b>,"<span>두산</span><em><span class=""lose"">3</span><span>vs</span><span class=""win"">7</span></em><span>KIA</span>",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210704&gameId=20210704OBHT0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210704&gameId=20210704OBHT0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,SS-T<br />G-CMB,,광주,-
2021,07.05(월),<b>18:30</b>,"<span>한화</span><em><span class=""lose"">6</span><span>vs</span><span class=""win"">7</span></em><span>LG</span>",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210705&gameId=20210705HHLG0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210705&gameId=20210705HHLG0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,SPO-T,,잠실,-
2021,,<b>18:30</b>,"<span>롯데</span><em><span class=""lose"">4</span><span>vs</span><span class=""win"">10</span></em><span>SSG</span>",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210705&gameId=20210705LTSK0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210705&gameId=20210705LTSK0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,SPO-2T,KNN-R,문학,-
2021,,<b>18:30</b>,<span>삼성</span><em><span>vs</span></em><span>NC</span>,,,MS-T,T-R,창원,우천취소
2021,,<b>18:30</b>,"<span>키움</span><em><span class=""win"">15</span><span>vs</span><span class=""lose"">5</span></em><span>KT</span>",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210705&gameId=20210705WOKT0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210705&gameId=20210705WOKT0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,KN-T,,수원,-
2021,,<b>18:30</b>,<span>두산</span><em><span>vs</span></em><span>KIA</span>,,,SS-T<br />G-CMB,,광주,우천취소
2021,07.06(화),<b>18:30</b>,"<span>NC</span><em><span class=""win"">7</span><span>vs</span><span class=""lose"">3</span></em><span>두산</span>",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210706&gameId=20210706NCOB0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210706&gameId=20210706NCOB0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,SS-T,,잠실,-
2021,,<b>18:30</b>,<span>LG</span><em><span>vs</span></em><span>롯데</span>,,,KN-T,KNN-R,사직,우천취소
2021,,<b>18:30</b>,<span>KT</span><em><span>vs</span></em><span>삼성</span>,,,SPO-2T,T-R,대구,우천취소
2021,,<b>18:30</b>,"<span>SSG</span><em><span class=""lose"">0</span><span>vs</span><span class=""win"">4</span></em><span>키움</span>",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210706&gameId=20210706SKWO0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210706&gameId=20210706SKWO0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,SPO-T,,고척,-
2021,,<b>18:30</b>,<span>KIA</span><em><span>vs</span></em><span>한화</span>,,,MS-T<br />D-CMB,,대전,우천취소
2021,07.07(수),<b>18:30</b>,"<span>NC</span><em><span class=""lose"">2</span><span>vs</span><span class=""win"">4</span></em><span>두산</span>",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210707&gameId=20210707NCOB0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210707&gameId=20210707NCOB0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,SS-T,,잠실,-
2021,,<b>18:30</b>,<span>LG</span><em><span>vs</span></em><span>롯데</span>,,,KN-T,KNN-R,사직,우천취소
2021,,<b>18:30</b>,<span>KT</span><em><span>vs</span></em><span>삼성</span>,,,SPO-2T,T-R,대구,우천취소
2021,,<b>18:30</b>,"<span>SSG</span><em><span class=""lose"">2</span><span>vs</span><span class=""win"">8</span></em><span>키움</span>",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210707&gameId=20210707SKWO0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20210707&gameId=20210707SKWO0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,SPO-T,,고척,-
